County,Company,Description,Address,Eircode,Website,Phone Number,LinkedIn,Additional Links,Notes,Socials
Carlow,MSD,Pharmaceutical Manufacturing Facility,"Dublin Road, Carlow, Co Carlow, ",R93 KF74,https://msd-ireland.com/media/,087 437 6282,MSD Ireland,Solutions for Healthy Communities,"CSR contact not found, Contact Media for redirection.",Facebook: MSD Careers 
Carlow,Unum,Insurance Company,"2nd Floor, Merchant House, Shamrock Plaza, Tullow St, Carlow",R93 E4E3,https://www.unumgroup.com/csr/healthier-communities,059 917 8100,Unum,,CSR application seems US focused. May need redirection for Ireland.,Facebook: Unum Ireland Instagram: @unumcareers
Carlow,Netwatch,AI Video Monitoring Services,"Cúram House, Athy Road, Carlow, Ireland",R93 YD43,https://netwatchsystem.com/company/contact/,"
1800 1800 00",Netwatch,Corporate Responsibility,Email: enquiries@netwatchsystem.com,Facebook: Netwatch Instagram: @netwatchai
Cavan,Kingspan,Construction,"Dublin Road, Kingscourt, Co. Cavan",A82 XY31,https://www.kingspangroup.com/en/contact/,353 429 698 000,Kingspan,https://www.kingspangroup.com/en/about/sports-sponsorship/,Email for sustainability team: planetpassionate@kingspan.com . Additional link for sponsorship,Instagram: @kingspan_group
Clare,Ei Electronics,Electronics manufacturing,"Shannon, Co. Clare",V14 H020,https://www.eielectronics.ie/contact-us/,+353 (0)61 471277,EiElectronics,,Irish-owned manufacturer,Facebook: EI Electronics
Clare,Shannon Group,Aviation / infrastructure,"2ND Floor, Shannon Free Zone, Airport Ave, Shannon, Co. Clare",V14 EE06,https://snnairportgroup.ie/about-us/contact/,+353 (0)61 712 000,Shannon Group,https://snnairportgroup.ie/sustainability/#,,N//A
Cork,Apple,Technology company,"Hollyhill Industrial Estate, Cork, Ireland ",T23 YK84 ,https://www.apple.com/ie/contact/,(021) 428 4000,Apple,https://www.apple.com/ie/financing/,No direct contact to CSR,Facebook/Instagram: apple 
Cork,Johnson Controls,Building technologies,"1 Albert Quay, Cork, Ireland",T12 X8N6,https://www.johnsoncontrols.com/contact-us,+1 414-524-8687,Johnson-controls,https://www.johnsoncontrols.com/suppliers/corporate-responsibility,Email: contact media@jci.com,Facebook: Johnson Controls Instagram: @johnsoncontrols
Cork,Musgrave,Retail & food distribution,"Airport Road, Cork, Ireland",T12 X6VW,https://musgravegroup.com/contact/,+353(0)214522100,Musgrave,,Email: group@musgrave.ie ,Facebook: Musgrave MarketPlace Instagram: @musgrave.marketplace
Cork,Johnson & Johnson,Healthcare,"Janssen Sciences Ireland UC, Barnahely, Ringaskiddy, Cork",P43 FA46,https://www.jnj.com/innovativemedicine/ireland/contact-us,214973000,Johnson&Johnson,https://www.jnj.com/innovativemedicine/ireland/about-us/our-responsibilities/to-communities,"Email: contactusjnjinnovativemedicine@its.jnj.com . They also work with Junior Achievement Ireland, Like Fidelity",Facebook: Johnson & Johnson
Cork,Savills,Real estate service ,"Penrose Dock, Victorian Quarter, Cork",T23 V38E,https://www.savills.ie/contact-us/people.aspx?page=1&countrySiteId=3171&sectorId=&sortOrder=asc&nameSearchValue=&lon=&lat=&officeId=,(021) 4271371,Savills,https://www.savills.co.uk/why-savills/sustainability-and-corporate-responsibility-approach/corporate-responsibility-and-charitable-donations.aspx,"Contact page isnt great, recommend ringing the office number.",Facebook: Savills Ireland Instagram: @savills.ireland
Cork,Pfizer,Pharmaceutical,"Ballintaggart, Cork",P43 X336,https://www.pfizer.ie/contact-us,(021) 4328701,Pfizer,,,Facebook: Pfizer Careers
Cork,Fisher Scientific Ireland Ltd,Pharmaceutical,"Currabinny, Carrigaline, Co. Cork, Ireland",P43 AY66,https://www.thermofisher.com/us/en/home.html/1000,353 21 437 8800,https://www.linkedin.com/company/fisher-scientific-ireland-limited,Laboratory & Production Essentials | Fisher Scientific,,
Cork,Dell,Technology,"Industrial Development Agency Industrial Estate, Ovens, Cork",P31 D253,https://www.dell.com/en-ie/lp/contact-us,1800 812 560,Dell Technologies,https://www.dell.com/en-ie/lp/dt/global-partner-directory,"Difficult to find direct contact, Call office number ",Facebook: Dell Technologies Careers
Donegal,Abbott Ireland ,Healthcare services,"Abbott Ireland Diabetes Care, Lurganboy DONEGAL",F94 FX36,https://www.ie.abbott/,074 974 0200,Abbott | LinkedIn,,Email : nikki.gordon@abbott.com,N/A
Donegal,Optum,Healthcare services,"Windyhall, Co. Donegal",F92 W622,https://www.optum.ie/contact.html,(074) 916-9299,Optum,,,facebook:Optum
Donegal,PGIM,Asset management,"Ballyraine, Letterkenny, Donegal",F92 FP83,https://www.pgim.com/us/en/institutional/about/contact-us,353 749170236,PGIM,https://www.pgim.com/us/en/institutional/about/diversity-equity-inclusion,,Facebook: PGIM Ireland
Dublin,Johnson & Johnson,Healthcare,"Airton Rd, Tallaght, Dublin",D24 WR89,https://www.jnj.com/innovativemedicine/ireland/contact-us,01 4665200,Johnson&Johnson,https://www.jnj.com/innovativemedicine/ireland/about-us/our-responsibilities/to-communities,"Email: contactusjnjinnovativemedicine@its.jnj.com . They also work with Junior Achievement Ireland, Like Fidelity",Facebook: Johnson & Johnson
Dublin,Optum,Healthcare services,"Block C, One Spencer Dock, Dublin 1",D01 X9R7,https://www.optum.ie/contact.html,(01) 865 1265,Optum,,,facebook:Optum
Dublin,PGIM,Asset management,"5 George's Dock, International Financial Services Centre, Dublin",D01 X8N7,https://www.pgim.com/us/en/institutional/about/contact-us,353 749170236,PGIM,https://www.pgim.com/us/en/institutional/about/diversity-equity-inclusion,phone number is for donegal,Facebook: PGIM Ireland
Dublin,Microsoft,Technology company,"One Microsoft Place, South County Business Park",D18 P521,https://www.microsoft.com/en-ie/aboutireland/map,1800-812-056,Microsoft,,,Facebook: Microsoft Instagram: @microsoftireland
Dublin,Accenture,Consulting,"1 Grand Canal Square, Dublin, Ireland",D02 P820,https://www.accenture.com/ie-en/about/contact-us,1 (877) 889-9009,Accenture,https://www.accenture.com/ie-en/about/contact-us,Use the link to get in contact,Facebook: Accenture Ireland Instagram: @accentureireland
Dublin,PayPal,Fintech,"Ballycoolin Business Park, Ballycoolin Rd, Blanchardstown, Dublin 15",D15 VNC4,https://www.paypal.com/ie/cshelp/contact-us,01-761-7395,Paypal,https://www.paypal.com/ie/cshelp/contact-us/topics/2022578?q=Non-profit%20and%20donations, ,Facebook: paypal
